Season,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Numot,SeedNumx,SeedNumy,WRts,WReFG,WRoer,WRder,WRat,WRastratio,WRtoratio,WRovr,Wts,WeFG,Woer,Wder,Wat,Wastratio,Wtoratio,lRts,lReFG,lRoer,lRder,lRat,lRastratio,lRtoratio,lRovr,lts,leFG,loer,lder,lat,lastratio,ltoratio,WMx,WMy,wlevel,llevel,wfinal_last1,lfinal_last1,Wwinratio,lwinratio,Wpan,lpan
2003,137,1231,67,1104,62,N,0,7,10,B,B,A,B,B,B,A,A,0.543,0.495,108.22,102.039,1.201,13.228,11.013,C,C,B,B,C,C,B,C,0.522,0.476,104.817,98.474,0.911,11.238,12.332,5.407407407,5.933333333,1,0,ChampionshipGame,RoundOf32,0.625,0.607142857,32,28
2003,145,1242,78,1112,75,N,0,2,1,B,B,A,A,B,B,B,A,0.558,0.524,110.629,90.892,1.123,13.79,12.279,B,B,A,A,B,B,A,A,0.555,0.515,111.652,92.164,1.193,13.886,11.637,2.956756757,2.605263158,0,1,FinalFour,SweetSixteen,0.766666667,0.892857143,30,28
2003,138,1242,108,1113,76,N,0,2,10,B,B,A,A,B,B,B,A,0.558,0.524,110.629,90.892,1.123,13.79,12.279,B,B,A,B,B,B,B,B,0.555,0.513,110.515,99.96,1.111,13.95,12.558,2.956756757,8.135135135,0,1,FinalFour,SweetSixteen,0.766666667,0.620689655,30,29
2003,144,1393,79,1120,78,N,0,3,10,B,B,A,B,B,B,A,A,0.552,0.512,111.393,97.634,1.099,12.665,11.527,B,B,B,B,C,B,C,B,0.553,0.521,104.084,97.172,0.843,12.4,14.713,4.493333333,6.666666667,1,0,RoundOf32,RoundOf32,0.827586207,0.633333333,29,30
2003,137,1257,86,1122,64,N,0,4,13,B,B,A,A,B,B,A,A,0.569,0.529,113.588,94.959,1.242,14.12,11.369,B,B,B,B,C,B,C,B,0.556,0.51,103.685,100.563,0.881,12.939,14.691,5.861538462,13.44117647,0,0,RoundOf64,RoundOf64,0.8,0.740740741,30,27
2003,144,1328,65,1139,54,N,0,1,12,B,B,A,A,B,B,A,A,0.55,0.513,110.535,92.756,1.201,13.194,10.99,A,A,A,B,B,B,A,A,0.592,0.559,113.32,101.938,1.245,13.46,10.811,5.408536585,12.07594937,0,1,FinalFour,RoundOf32,0.8,0.827586207,30,29
2003,136,1163,58,1140,53,N,0,5,12,B,B,A,B,C,B,B,B,0.556,0.524,109.699,98.293,0.989,12.92,13.058,A,B,A,B,C,B,B,B,0.585,0.529,111.877,96.987,0.977,13.29,13.61,3.404411765,10.13095238,0,0,EliteEight,RoundOf64,0.7,0.741935484,30,31
2003,138,1181,86,1141,60,N,0,3,11,B,B,A,B,C,C,B,B,0.564,0.514,112.361,97.15,0.986,12.056,12.23,A,A,A,B,C,B,C,B,0.622,0.57,111.095,102.545,0.856,14.235,16.623,2.145251397,11.27272727,0,0,SweetSixteen,RoundOf64,0.8,0.793103448,30,29
2003,138,1328,74,1143,65,N,0,1,8,B,B,A,A,B,B,A,A,0.55,0.513,110.535,92.756,1.201,13.194,10.99,B,B,B,B,B,B,B,B,0.553,0.52,106.036,99.33,1.129,13.945,12.352,5.408536585,7.336538462,0,0,FinalFour,RoundOf32,0.8,0.724137931,30,29
2003,136,1211,74,1153,69,N,0,9,8,A,A,A,B,B,B,B,A,0.581,0.535,111.836,98.434,1.082,14.293,13.209,C,C,B,A,B,C,A,B,0.509,0.463,104.183,95.197,1.158,11.756,10.149,9.864583333,3.888888889,1,0,RoundOf64,RoundOf32,0.741935484,0.607142857,31,28
