affiliate_channel,affiliate_provider,first_affiliate_tracked,affiliate_5lv,track_check
api,other,linked,etc,yes
api,other,marketing,etc,yes
api,other,omg,etc,yes
api,other,product,etc,yes
api,other,tracked-other,etc,yes
api,other,untracked,etc,no
api,other,,etc,yes
content,facebook,linked,SNS,yes
content,facebook,omg,SNS,yes
content,facebook,product,SNS,yes
content,facebook,tracked-other,SNS,yes
content,facebook,untracked,SNS,no
content,facebook,,SNS,yes
content,google,linked,SE,yes
content,google,omg,SE,yes
content,google,product,SE,yes
content,google,tracked-other,SE,yes
content,google,untracked,SE,no
content,google,,SE,yes
content,gsp,linked,etc,yes
content,gsp,omg,etc,yes
content,gsp,tracked-other,etc,yes
content,gsp,untracked,etc,no
content,other,linked,etc,yes
content,other,local ops,etc,yes
content,yandex,omg,SE,yes
direct,direct,linked,direct,yes
direct,direct,local ops,direct,yes
direct,direct,marketing,direct,yes
direct,direct,omg,direct,yes
direct,direct,product,direct,yes
direct,direct,tracked-other,direct,yes
direct,direct,untracked,direct,no
direct,direct,,direct,yes
direct,other,linked,direct,yes
direct,other,omg,direct,yes
direct,other,product,direct,yes
direct,other,tracked-other,direct,yes
direct,other,untracked,direct,no
direct,other,,direct,yes
other,craigslist,linked,etc,yes
other,craigslist,marketing,etc,yes
other,craigslist,omg,etc,yes
other,craigslist,product,etc,yes
other,craigslist,tracked-other,etc,yes
other,craigslist,untracked,etc,no
other,craigslist,,etc,yes
other,email-marketing,linked,email,yes
other,email-marketing,marketing,email,yes
other,email-marketing,omg,email,yes
other,email-marketing,tracked-other,email,yes
other,email-marketing,untracked,email,no
other,email-marketing,,email,yes
other,facebook-open-graph,linked,SNS,yes
other,facebook-open-graph,omg,SNS,yes
other,facebook-open-graph,tracked-other,SNS,yes
other,facebook-open-graph,untracked,SNS,yes
other,meetup,linked,SNS,yes
other,meetup,marketing,SNS,yes
other,meetup,omg,SNS,yes
other,meetup,tracked-other,SNS,yes
other,meetup,untracked,SNS,no
other,other,linked,etc,yes
other,other,local ops,etc,yes
other,other,marketing,etc,yes
other,other,omg,etc,yes
other,other,product,etc,yes
other,other,tracked-other,etc,yes
other,other,untracked,etc,no
other,other,,etc,yes
other,padmapper,linked,SNS,yes
other,padmapper,omg,SNS,yes
other,padmapper,product,SNS,yes
other,padmapper,tracked-other,SNS,yes
other,padmapper,untracked,SNS,no
other,wayn,tracked-other,SNS,yes
remarketing,google,linked,SE,yes
remarketing,google,marketing,SE,yes
remarketing,google,omg,SE,yes
remarketing,google,tracked-other,SE,yes
remarketing,google,untracked,SE,no
remarketing,google,,SE,yes
remarketing,yandex,omg,SE,yes
sem-brand,baidu,omg,SE,yes
sem-brand,bing,linked,SE,yes
sem-brand,bing,omg,SE,yes
sem-brand,bing,product,SE,yes
sem-brand,bing,tracked-other,SE,yes
sem-brand,bing,untracked,SE,no
sem-brand,bing,,SE,yes
sem-brand,google,linked,SE,yes
sem-brand,google,marketing,SE,yes
sem-brand,google,omg,SE,yes
sem-brand,google,product,SE,yes
sem-brand,google,tracked-other,SE,yes
sem-brand,google,untracked,SE,no
sem-brand,google,,SE,yes
sem-brand,naver,omg,SE,yes
sem-brand,other,omg,SE,yes
sem-brand,yandex,linked,SE,yes
sem-brand,yandex,omg,SE,yes
sem-brand,yandex,untracked,SE,no
sem-non-brand,baidu,omg,SE,yes
sem-non-brand,baidu,tracked-other,SE,yes
sem-non-brand,baidu,untracked,SE,no
sem-non-brand,bing,linked,SE,yes
sem-non-brand,bing,omg,SE,yes
sem-non-brand,bing,product,SE,yes
sem-non-brand,bing,tracked-other,SE,yes
sem-non-brand,bing,untracked,SE,no
sem-non-brand,bing,,SE,yes
sem-non-brand,daum,omg,SE,yes
sem-non-brand,facebook,omg,SNS,yes
sem-non-brand,facebook,tracked-other,SNS,yes
sem-non-brand,facebook,untracked,SNS,no
sem-non-brand,google,linked,SE,yes
sem-non-brand,google,local ops,SE,yes
sem-non-brand,google,marketing,SE,yes
sem-non-brand,google,omg,SE,yes
sem-non-brand,google,product,SE,yes
sem-non-brand,google,tracked-other,SE,yes
sem-non-brand,google,untracked,SE,no
sem-non-brand,google,,SE,yes
sem-non-brand,naver,omg,SE,yes
sem-non-brand,naver,untracked,SE,no
sem-non-brand,other,linked,etc,yes
sem-non-brand,other,marketing,etc,yes
sem-non-brand,other,omg,etc,yes
sem-non-brand,other,tracked-other,etc,yes
sem-non-brand,other,untracked,etc,no
sem-non-brand,other,,etc,yes
sem-non-brand,vast,linked,etc,yes
sem-non-brand,vast,omg,etc,yes
sem-non-brand,vast,tracked-other,etc,yes
sem-non-brand,vast,untracked,etc,no
sem-non-brand,vast,,etc,yes
sem-non-brand,yandex,linked,SE,yes
sem-non-brand,yandex,omg,SE,yes
seo,baidu,linked,SE,yes
seo,baidu,untracked,SE,no
seo,bing,linked,SE,yes
seo,bing,omg,SE,yes
seo,bing,tracked-other,SE,yes
seo,bing,untracked,SE,no
seo,facebook,linked,SNS,yes
seo,facebook,omg,SNS,yes
seo,facebook,product,SNS,yes
seo,facebook,tracked-other,SNS,yes
seo,facebook,untracked,SNS,no
seo,facebook,,SNS,yes
seo,google,linked,SE,yes
seo,google,marketing,SE,yes
seo,google,omg,SE,yes
seo,google,product,SE,yes
seo,google,tracked-other,SE,yes
seo,google,untracked,SE,no
seo,google,,SE,yes
seo,other,linked,etc,yes
seo,other,omg,etc,yes
seo,other,product,etc,yes
seo,other,tracked-other,etc,yes
seo,other,untracked,etc,no
seo,other,,etc,yes
seo,yahoo,linked,SE,yes
seo,yahoo,omg,SE,yes
seo,yahoo,product,SE,yes
seo,yahoo,tracked-other,SE,yes
seo,yahoo,untracked,SE,no
