action,action_detail,action_type,action_1,booking
lookup,,,search,no
search_results,view_search_results,click,search,no
personalize,wishlist_content_update,data,search,no
index,view_search_results,view,search,no
similar_listings,similar_listings,data,search,no
ajax_refresh_subtotal,change_trip_characteristics,click,search,no
show,,,etc,no
show,p3,view,etc,no
header_userpic,header_userpic,data,login,no
ask_question,contact_host,submit,contact,no
,message_post,message_post,contact,no
other_hosting_reviews_first,-unknown-,-unknown-,search,no
hosting_social_proof,-unknown-,-unknown-,search,no
decision_tree,-unknown-,-unknown-,search,no
recent_reservations,-unknown-,-unknown-,login,no
faq_experiment_ids,-unknown-,-unknown-,etc,no
multi,-unknown-,-unknown-,etc,no
active,-unknown-,-unknown-,etc,no
dashboard,dashboard,view,etc,no
create,create_user,submit,login,no
confirm_email,confirm_email_link,click,login,no
show_personalize,user_profile_content_update,data,login,no
show,user_profile,view,login,no
verify,-unknown-,-unknown-,login,no
pending,pending,booking_request,reservation,yes
requested,p5,view,etc,no
concierge,-unknown-,-unknown-,etc,no
faq,-unknown-,-unknown-,etc,no
create,create_phone_numbers,submit,login,no
clear_reservation,-unknown-,-unknown-,reservation,no
cancellation_policies,cancellation_policies,view,etc,no
track_page_view,,,search,no
update,-unknown-,-unknown-,etc,no
create,-unknown-,-unknown-,etc,no
my,user_wishlists,view,my_options,no
index,user_wishlists,view,my_options,no
campaigns,-unknown-,-unknown-,etc,no
notifications,-unknown-,-unknown-,etc,no
listings,-unknown-,-unknown-,etc,no
unavailabilities,-unknown-,-unknown-,etc,no
index,-unknown-,-unknown-,etc,no
ajax_lwlb_contact,contact_host,click,contact,no
ajax_check_dates,change_contact_host_dates,click,contact,no
show,wishlist,view,my_options,no
qt2,message_thread,view,contact,no
index,message_thread,view,contact,no
request_new_confirm_email,request_new_confirm_email,click,contact,no
ajax_photo_widget_form_iframe,-unknown-,-unknown-,etc,no
facebook_auto_login,-unknown-,-unknown-,login,no
identity,-unknown-,-unknown-,etc,no
qt_reply_v2,send_message,submit,contact,no
travel_plans_current,your_trips,view,my_options,no
complete_status,-unknown-,-unknown-,etc,no
populate_from_facebook,-unknown-,-unknown-,etc,no
kba_update,-unknown-,-unknown-,etc,no
kba,-unknown-,-unknown-,etc,no
login,login_page,view,login,no
authenticate,login,submit,login,no
calendar_tab_inner2,-unknown-,-unknown-,etc,no
