"chips" "location"
12 1
12 1
6 1
13 1
12 1
12 1
9 1
10 1
7 1
14 1
12 1
13 1
7 1
6 1
9 1
12 1
4 1
11 1
10 1
7 1
6 1
9 1
5 1
10 1
8 1
9 1
4 1
12 1
8 1
10 1
7 2
4 2
6 2
9 2
3 2
9 2
6 2
9 2
4 2
6 2
10 2
9 2
5 2
5 2
6 2
6 2
2 2
3 2
2 2
7 2
9 2
4 2
11 2
1 2
4 2
8 2
6 2
6 2
5 2
7 2
7 3
6 3
9 3
6 3
15 3
14 3
7 3
11 3
7 3
12 3
11 3
11 3
12 3
6 3
12 3
12 3
4 3
11 3
6 3
18 3
4 3
7 3
8 3
12 3
13 3
15 3
9 3
6 3
5 3
11 3
8 4
9 4
7 4
14 4
6 4
10 4
1 4
5 4
7 4
7 4
8 4
9 4
6 4
5 4
10 4
7 4
12 4
10 4
12 4
15 4
8 4
7 4
21 4
14 4
12 4
6 4
7 4
5 4
8 4
12 4
15 5
10 5
12 5
10 5
6 5
8 5
10 5
11 5
11 5
16 5
11 5
13 5
6 5
11 5
20 5
6 5
16 5
13 5
13 5
11 5
10 5
16 5
16 5
6 5
16 5
11 5
11 5
19 5
11 5
15 5
